car,price,body,mileage,engV,engType,registration,year,model,drive
GAZ,259.35,sedan,1,2.4,Other,yes,1959,21,rear
Moskvich-AZLK,280,sedan,99,1.5,Petrol,yes,1976,2140,rear
ZAZ,370.5,sedan,3,1.1,Petrol,yes,1989,968,rear
Moskvich-AZLK,400,sedan,1,10,Petrol,yes,1985,2140,rear
ZAZ,400,sedan,20,NA,Petrol,yes,1990,968,rear
VAZ,400,sedan,10,1.1,Petrol,yes,1982,2101,rear
VAZ,460,sedan,1,NA,Petrol,yes,1981,2101,rear
VAZ,463.125,sedan,10,1.3,Petrol,yes,1979,2101,rear
VAZ,463.125,sedan,68,1.2,Petrol,yes,1984,2101,rear
GAZ,500,sedan,239,2,Other,yes,1961,21,rear
Opel,500,sedan,350,2,Petrol,yes,1990,Omega,rear
VAZ,537.225,sedan,87,1.5,Petrol,yes,1994,2105,rear
Moskvich-AZLK,550,sedan,30,99.99,Petrol,yes,1971,412,rear
Toyota,600,sedan,10,1.5,Petrol,yes,1979,Corolla,rear
VAZ,600,sedan,60,1.2,Petrol,yes,1976,2101,rear
VAZ,649,sedan,9,1.2,Petrol,yes,1977,2101,rear
VAZ,650,sedan,17,1.5,Petrol,yes,1988,2107,rear
VAZ,650,sedan,10,1.3,Petrol,yes,1982,2111,rear
VAZ,666.9,sedan,70,1.3,Petrol,yes,1983,2101,rear
VAZ,670,sedan,5,1.5,Petrol,yes,1987,2105,rear
Ford,680,sedan,100,2.3,Gas,yes,1980,Granada,rear
VAZ,700,vagon,1,NA,Petrol,yes,1981,2102,rear
VAZ,703.95,sedan,187,1.6,Petrol,yes,1985,2107,rear
VAZ,703.95,sedan,20,1.3,Petrol,yes,1985,2106,rear
VAZ,703.95,sedan,30,1.3,Petrol,yes,1986,2106,rear
VAZ,722.475,sedan,10,1.2,Petrol,yes,1984,2101,rear
VAZ,741,sedan,167,1.3,Gas,yes,1986,2105,rear
VAZ,750,sedan,264,1.5,Other,yes,1981,2103,rear
VAZ,750,sedan,999,1.3,Petrol,yes,1984,2106,rear
Moskvich-Izh,750,van,100,1.5,Petrol,yes,1988,2715,rear
VAZ,750,sedan,20,1.5,Petrol,yes,1975,2103,rear
VAZ,800,sedan,25,1.3,Petrol,yes,1979,2101,rear
VAZ,833.625,sedan,1,1.2,Gas,yes,1984,2101,rear
VAZ,850,sedan,72,1.3,Petrol,yes,1977,2101,rear
VAZ,850,sedan,110,1.3,Petrol,yes,1985,2106,rear
ZAZ,899,other,15,1.2,Petrol,yes,1991,968,rear
VAZ,900,sedan,100,1.5,Gas,yes,1986,2106,rear
VAZ,900,sedan,60,1.3,Petrol,yes,1978,2101,rear
VAZ,907.725,sedan,1,NA,Other,yes,1986,2106,rear
VAZ,926.25,sedan,40,1.6,Gas,yes,1986,2106,rear
VAZ,926.25,vagon,200,1.5,Petrol,yes,1999,2104,rear
VAZ,926.25,sedan,150,1.2,Petrol,yes,1986,2101,rear
VAZ,950,sedan,97,1.5,Petrol,yes,1993,2107,rear
VAZ,950,sedan,76,1.3,Petrol,yes,1983,2105,rear
VAZ,950,sedan,86,1.2,Petrol,yes,1986,2101,rear
